"suelo","cobertura","pendiente","precipitacion","inf_baja","inf_media","inf_alta"
"suelo_infiltracion_media","forestal_secundaria","pend_alta","prec_media",0.15,0.6,0.25
"suelo_infiltracion_media","forestal_secundaria","pend_alta","prec_alta",0.2,0.5,0.3
"suelo_infiltracion_media","hidrofila_humedal","pend_baja","prec_baja",0.25,0.5,0.25
"suelo_infiltracion_media","hidrofila_humedal","pend_baja","prec_media",0.15,0.7,0.15
"suelo_infiltracion_media","hidrofila_humedal","pend_baja","prec_alta",0.2,0.6,0.2
"suelo_infiltracion_media","hidrofila_humedal","pend_media","prec_baja",0.2,0.6,0.2
"suelo_infiltracion_media","hidrofila_humedal","pend_media","prec_media",0.15,0.7,0.15
"suelo_infiltracion_media","hidrofila_humedal","pend_media","prec_alta",0.15,0.7,0.15
"suelo_infiltracion_media","hidrofila_humedal","pend_alta","prec_baja",0.25,0.5,0.25
"suelo_infiltracion_media","hidrofila_humedal","pend_alta","prec_media",0.2,0.6,0.2
"suelo_infiltracion_media","hidrofila_humedal","pend_alta","prec_alta",0.25,0.5,0.25
"suelo_infiltracion_media","agropecuaria","pend_baja","prec_baja",0.3,0.5,0.2
"suelo_infiltracion_media","agropecuaria","pend_baja","prec_media",0.2,0.7,0.1
"suelo_infiltracion_media","agropecuaria","pend_baja","prec_alta",0.25,0.6,0.15
"suelo_infiltracion_media","agropecuaria","pend_media","prec_baja",0.25,0.6,0.15
"suelo_infiltracion_media","agropecuaria","pend_media","prec_media",0.2,0.7,0.1
"suelo_infiltracion_media","agropecuaria","pend_media","prec_alta",0.2,0.7,0.1
"suelo_infiltracion_media","agropecuaria","pend_alta","prec_baja",0.3,0.5,0.2
"suelo_infiltracion_media","agropecuaria","pend_alta","prec_media",0.25,0.6,0.15
"suelo_infiltracion_media","agropecuaria","pend_alta","prec_alta",0.3,0.5,0.2
"suelo_infiltracion_media","antropica","pend_baja","prec_baja",0.6,0.25,0.15
"suelo_infiltracion_media","antropica","pend_baja","prec_media",0.5,0.3,0.2
"suelo_infiltracion_media","antropica","pend_baja","prec_alta",0.5,0.3,0.2
"suelo_infiltracion_media","antropica","pend_media","prec_baja",0.7,0.2,0.1
"suelo_infiltracion_media","antropica","pend_media","prec_media",0.6,0.25,0.15
"suelo_infiltracion_media","antropica","pend_media","prec_alta",0.5,0.3,0.2
"suelo_infiltracion_media","antropica","pend_alta","prec_baja",0.7,0.2,0.1
"suelo_infiltracion_media","antropica","pend_alta","prec_media",0.7,0.2,0.1
"suelo_infiltracion_media","antropica","pend_alta","prec_alta",0.6,0.25,0.15
"suelo_infiltracion_baja","forestal_conservada","pend_baja","prec_baja",0.3,0.5,0.2
"suelo_infiltracion_baja","forestal_conservada","pend_baja","prec_media",0.2,0.7,0.1
"suelo_infiltracion_baja","forestal_conservada","pend_baja","prec_alta",0.25,0.6,0.15
"suelo_infiltracion_baja","forestal_conservada","pend_media","prec_baja",0.25,0.6,0.15
"suelo_infiltracion_baja","forestal_conservada","pend_media","prec_media",0.2,0.7,0.1
"suelo_infiltracion_baja","forestal_conservada","pend_media","prec_alta",0.2,0.7,0.1
"suelo_infiltracion_baja","forestal_conservada","pend_alta","prec_baja",0.3,0.5,0.2
"suelo_infiltracion_baja","forestal_conservada","pend_alta","prec_media",0.25,0.6,0.15
"suelo_infiltracion_baja","forestal_conservada","pend_alta","prec_alta",0.3,0.5,0.2
"suelo_infiltracion_baja","forestal_secundaria","pend_baja","prec_baja",0.3,0.5,0.2
"suelo_infiltracion_baja","forestal_secundaria","pend_baja","prec_media",0.2,0.7,0.1
"suelo_infiltracion_baja","forestal_secundaria","pend_baja","prec_alta",0.25,0.6,0.15
"suelo_infiltracion_baja","forestal_secundaria","pend_media","prec_baja",0.25,0.6,0.15
"suelo_infiltracion_baja","forestal_secundaria","pend_media","prec_media",0.2,0.7,0.1
"suelo_infiltracion_baja","forestal_secundaria","pend_media","prec_alta",0.2,0.7,0.1
"suelo_infiltracion_baja","forestal_secundaria","pend_alta","prec_baja",0.3,0.5,0.2
"suelo_infiltracion_baja","forestal_secundaria","pend_alta","prec_media",0.25,0.6,0.15
"suelo_infiltracion_baja","forestal_secundaria","pend_alta","prec_alta",0.3,0.5,0.2
"suelo_infiltracion_baja","hidrofila_humedal","pend_baja","prec_baja",0.6,0.25,0.15
"suelo_infiltracion_baja","hidrofila_humedal","pend_baja","prec_media",0.5,0.3,0.2
"suelo_infiltracion_baja","hidrofila_humedal","pend_baja","prec_alta",0.5,0.3,0.2
"suelo_infiltracion_baja","hidrofila_humedal","pend_media","prec_baja",0.7,0.2,0.1
"suelo_infiltracion_baja","hidrofila_humedal","pend_media","prec_media",0.6,0.25,0.15
"suelo_infiltracion_baja","hidrofila_humedal","pend_media","prec_alta",0.5,0.3,0.2
"suelo_infiltracion_baja","hidrofila_humedal","pend_alta","prec_baja",0.7,0.2,0.1
"suelo_infiltracion_baja","hidrofila_humedal","pend_alta","prec_media",0.7,0.2,0.1
"suelo_infiltracion_baja","hidrofila_humedal","pend_alta","prec_alta",0.6,0.25,0.15
"suelo_infiltracion_baja","agropecuaria","pend_baja","prec_baja",0.6,0.25,0.15
"suelo_infiltracion_baja","agropecuaria","pend_baja","prec_media",0.5,0.3,0.2
"suelo_infiltracion_baja","agropecuaria","pend_baja","prec_alta",0.5,0.3,0.2
"suelo_infiltracion_baja","agropecuaria","pend_media","prec_baja",0.7,0.2,0.1
"suelo_infiltracion_baja","agropecuaria","pend_media","prec_media",0.6,0.25,0.15
"suelo_infiltracion_baja","agropecuaria","pend_media","prec_alta",0.5,0.3,0.2
"suelo_infiltracion_baja","agropecuaria","pend_alta","prec_baja",0.7,0.2,0.1
"suelo_infiltracion_baja","agropecuaria","pend_alta","prec_media",0.7,0.2,0.1
"suelo_infiltracion_baja","agropecuaria","pend_alta","prec_alta",0.6,0.25,0.15
"suelo_infiltracion_baja","antropica","pend_baja","prec_baja",0.6,0.25,0.15
"suelo_infiltracion_baja","antropica","pend_baja","prec_media",0.5,0.3,0.2
"suelo_infiltracion_baja","antropica","pend_baja","prec_alta",0.5,0.3,0.2
"suelo_infiltracion_baja","antropica","pend_media","prec_baja",0.7,0.2,0.1
"suelo_infiltracion_baja","antropica","pend_media","prec_media",0.6,0.25,0.15
"suelo_infiltracion_baja","antropica","pend_media","prec_alta",0.5,0.3,0.2
"suelo_infiltracion_baja","antropica","pend_alta","prec_baja",0.7,0.2,0.1
"suelo_infiltracion_baja","antropica","pend_alta","prec_media",0.7,0.2,0.1
"suelo_infiltracion_baja","antropica","pend_alta","prec_alta",0.6,0.25,0.15
"suelo_salino","forestal_conservada","pend_baja","prec_baja",0.6,0.25,0.15
"suelo_salino","forestal_conservada","pend_baja","prec_media",0.5,0.3,0.2
"suelo_salino","forestal_conservada","pend_baja","prec_alta",0.5,0.3,0.2
"suelo_salino","forestal_conservada","pend_media","prec_baja",0.7,0.2,0.1
"suelo_salino","forestal_conservada","pend_media","prec_media",0.6,0.25,0.15
"suelo_salino","forestal_conservada","pend_media","prec_alta",0.5,0.3,0.2
"suelo_salino","forestal_conservada","pend_alta","prec_baja",0.7,0.2,0.1
"suelo_salino","forestal_conservada","pend_alta","prec_media",0.7,0.2,0.1
"suelo_salino","forestal_conservada","pend_alta","prec_alta",0.6,0.25,0.15
"suelo_salino","forestal_secundaria","pend_baja","prec_baja",0.6,0.25,0.15
"suelo_salino","forestal_secundaria","pend_baja","prec_media",0.5,0.3,0.2
"suelo_salino","forestal_secundaria","pend_baja","prec_alta",0.5,0.3,0.2
"suelo_salino","forestal_secundaria","pend_media","prec_baja",0.7,0.2,0.1
"suelo_salino","forestal_secundaria","pend_media","prec_media",0.6,0.25,0.15
"suelo_salino","forestal_secundaria","pend_media","prec_alta",0.5,0.3,0.2
"suelo_salino","forestal_secundaria","pend_alta","prec_baja",0.7,0.2,0.1
"suelo_salino","forestal_secundaria","pend_alta","prec_media",0.7,0.2,0.1
"suelo_salino","forestal_secundaria","pend_alta","prec_alta",0.6,0.25,0.15
"suelo_salino","hidrofila_humedal","pend_baja","prec_baja",0.6,0.25,0.15
"suelo_salino","hidrofila_humedal","pend_baja","prec_media",0.5,0.3,0.2
"suelo_salino","hidrofila_humedal","pend_baja","prec_alta",0.5,0.3,0.2
"suelo_salino","hidrofila_humedal","pend_media","prec_baja",0.7,0.2,0.1
"suelo_salino","hidrofila_humedal","pend_media","prec_media",0.6,0.25,0.15
