"Infiltración","Precipitación","Escorrentía dominante","Tendencia funcional","Soporte de infiltración","Soporte causal","P(Escorrentía baja)","P(Escorrentía media)","P(Escorrentía alta)","Suma","Regla aplicada"
"inf_baja","prec_baja","esc_baja","No aplica","Contradice","Débil",0.5,0.3,0.2,1,"Precipitación baja → escorrentía baja; infiltración baja contradice el estado."
"inf_media","prec_baja","esc_baja","No aplica","Neutral","Moderado",0.6,0.25,0.15,1,"Precipitación baja → escorrentía baja; infiltración media neutral el estado."
"inf_alta","prec_baja","esc_baja","No aplica","Apoya","Fuerte",0.7,0.2,0.1,1,"Precipitación baja → escorrentía baja; infiltración alta apoya el estado."
"inf_baja","prec_media","esc_media","alta","Contradice","Débil",0.2,0.5,0.3,1,"Precipitación media → escorrentía media; infiltración baja contradice el estado."
"inf_media","prec_media","esc_media","Neutral","Apoya","Fuerte",0.15,0.7,0.15,1,"Precipitación media → escorrentía media; infiltración media apoya el estado."
"inf_alta","prec_media","esc_media","baja","Contradice","Débil",0.3,0.5,0.2,1,"Precipitación media → escorrentía media; infiltración alta contradice el estado."
"inf_baja","prec_alta","esc_alta","No aplica","Apoya","Fuerte",0.1,0.2,0.7,1,"Precipitación alta → escorrentía alta; infiltración baja apoya el estado."
"inf_media","prec_alta","esc_alta","No aplica","Neutral","Moderado",0.15,0.25,0.6,1,"Precipitación alta → escorrentía alta; infiltración media neutral el estado."
"inf_alta","prec_alta","esc_alta","No aplica","Contradice","Débil",0.2,0.3,0.5,1,"Precipitación alta → escorrentía alta; infiltración alta contradice el estado."
