"UREH_predicha","n_units","area_ha","unit_percentage","area_percentage"
"aporte_conservada",308,39578.0358894752,34.2602892102336,35.3302473030579
"aporte_degradada",128,13514.4741226492,14.238042269188,12.0640072755845
"transferencia_conservada",180,25390.3176331073,20.0222469410456,22.6652531112445
"transferencia_degradada",130,14800.1485410372,14.460511679644,13.2116942219431
"receptora_conservada",77,9129.30676488965,8.5650723025584,8.14948641235638
"receptora_degradada",76,9610.81032067823,8.45383759733037,8.57931167581358
