"id","escenario","tipo_escenario","evidencia_retirada","pregunta","aporte_conservada","aporte_degradada","transferencia_conservada","transferencia_degradada","receptora_conservada","receptora_degradada","UREH_predicha","prob_UREH_predicha","entropia_UREH"
1,"M0","control","Ninguna","Referencia completa",0.391113578845694,0.129151052601675,0.208443210577153,0.0754244736991627,0.140443210577153,0.0554244736991627,"aporte_conservada",0.391113578845694,0.887014373852601
2,"M0","control","Ninguna","Referencia completa",0.116033285913842,0.0696723892657802,0.409023563627144,0.22121908463473,0.114943150459014,0.0691085260994901,"transferencia_conservada",0.409023563627144,0.875250667248321
3,"M0","control","Ninguna","Referencia completa",0.363873197915033,0.197865447197431,0.167063401042483,0.0960672764012845,0.109063401042483,0.0660672764012845,"aporte_conservada",0.363873197915033,0.911732968665579
4,"M0","control","Ninguna","Referencia completa",0.190358567543064,0.108116500453309,0.314311876699909,0.172230281051677,0.135329555757026,0.0796532184950136,"transferencia_conservada",0.314311876699909,0.946105609084125
5,"M0","control","Ninguna","Referencia completa",0.336431689003934,0.183671563277897,0.180784155498033,0.103164218361052,0.122784155498033,0.0731642183610516,"aporte_conservada",0.336431689003934,0.932126200645696
6,"M0","control","Ninguna","Referencia completa",0.312970988213962,0.171536718041704,0.192514505893019,0.109231640979148,0.134514505893019,0.0792316409791478,"aporte_conservada",0.312970988213962,0.946419676621854
7,"M0","control","Ninguna","Referencia completa",0.377277987421384,0.125081761006289,0.215361006289308,0.0774591194968554,0.147361006289308,0.0574591194968554,"aporte_conservada",0.377277987421384,0.894602776782792
8,"M0","control","Ninguna","Referencia completa",0.368063697371787,0.200032946916442,0.164968151314106,0.0949835265417792,0.106968151314106,0.0649835265417792,"aporte_conservada",0.368063697371787,0.908266126298863
9,"M0","control","Ninguna","Referencia completa",0.324737106918239,0.177622641509434,0.186631446540881,0.106188679245283,0.12863144654088,0.076188679245283,"aporte_conservada",0.324737106918239,0.939611265505846
10,"M0","control","Ninguna","Referencia completa",0.312970988213962,0.171536718041704,0.192514505893019,0.109231640979148,0.134514505893019,0.0792316409791478,"aporte_conservada",0.312970988213962,0.946419676621854
11,"M0","control","Ninguna","Referencia completa",0.341188002039073,0.186131725192624,0.178405998980464,0.101934137403688,0.120405998980464,0.0719341374036881,"aporte_conservada",0.341188002039073,0.928876635225926
12,"M0","control","Ninguna","Referencia completa",0.363483227561197,0.12102447869447,0.222258386219402,0.0794877606527652,0.154258386219402,0.0594877606527652,"aporte_conservada",0.363483227561197,0.901439480212449
13,"M0","control","Ninguna","Referencia completa",0.324737106918239,0.177622641509434,0.186631446540881,0.106188679245283,0.12863144654088,0.076188679245283,"aporte_conservada",0.324737106918239,0.939611265505846
14,"M0","control","Ninguna","Referencia completa",0.324737106918239,0.177622641509434,0.186631446540881,0.106188679245283,0.12863144654088,0.076188679245283,"aporte_conservada",0.324737106918239,0.939611265505846
15,"M0","control","Ninguna","Referencia completa",0.167427128427128,0.0962554112554112,0.338623376623377,0.184805194805195,0.133949494949495,0.0789393939393939,"transferencia_conservada",0.338623376623377,0.933700321711608
16,"M0","control","Ninguna","Referencia completa",0.342941232836671,0.187038568708623,0.177529383581665,0.101480715645689,0.119529383581665,0.0714807156456886,"aporte_conservada",0.342941232836671,0.927648785140559
