"level","n_units","n_MAP_stable","percentage_MAP_stable","n_MAP_changed","percentage_MAP_changed","median_JS","mean_JS","Q90_JS","median_delta_H","mean_delta_H"
"Runoff",899,615,68.4093437152392,284,31.5906562847608,0.404754508247882,0.405763863297736,0.541305574247255,-0.547091174111978,-0.486164677716924
"UREH",899,899,100,0,0,0.0377261016241126,0.0387057225849614,0.0622085521771243,0.013699933241618,0.00517357727259665
