"metric","n","mean","sd","min","q25","median","q75","max"
"dominant_probability",899,0.373305475698929,0.0474405145478738,0.312338905139992,0.324737106918239,0.368050259965338,0.422353634577603,0.494265611257696
"classification_margin",899,0.168896401207566,0.0431287925527529,0.119508357709987,0.138105660377358,0.168023569023569,0.194314014790693,0.334775725593667
"normalized_entropy",899,0.899968904173488,0.0380899445627786,0.807269723720611,0.860469993637787,0.903412568525205,0.939611265505845,0.946764939956144
