"id","UREH_predicha","prob_UREH_predicha","UREH_segunda","prob_UREH_segunda","margen_clasificacion","entropia_UREH"
1,"aporte_conservada",0.391113578845694,"transferencia_conservada",0.208443210577153,0.182670368268541,0.887014373852601
2,"transferencia_conservada",0.409023563627144,"transferencia_degradada",0.22121908463473,0.187804478992414,0.875250667248321
3,"aporte_conservada",0.363873197915033,"aporte_degradada",0.197865447197431,0.166007750717602,0.911732968665579
4,"transferencia_conservada",0.314311876699909,"aporte_conservada",0.190358567543064,0.123953309156845,0.946105609084125
5,"aporte_conservada",0.336431689003934,"aporte_degradada",0.183671563277897,0.152760125726037,0.932126200645696
6,"aporte_conservada",0.312970988213962,"transferencia_conservada",0.192514505893019,0.120456482320943,0.946419676621854
7,"aporte_conservada",0.377277987421384,"transferencia_conservada",0.215361006289308,0.161916981132075,0.894602776782792
8,"aporte_conservada",0.368063697371787,"aporte_degradada",0.200032946916442,0.168030750455345,0.908266126298862
9,"aporte_conservada",0.324737106918239,"transferencia_conservada",0.186631446540881,0.138105660377358,0.939611265505845
10,"aporte_conservada",0.312970988213962,"transferencia_conservada",0.192514505893019,0.120456482320943,0.946419676621854
11,"aporte_conservada",0.341188002039073,"aporte_degradada",0.186131725192624,0.155056276846449,0.928876635225926
12,"aporte_conservada",0.363483227561197,"transferencia_conservada",0.222258386219402,0.141224841341795,0.901439480212449
13,"aporte_conservada",0.324737106918239,"transferencia_conservada",0.186631446540881,0.138105660377358,0.939611265505845
14,"aporte_conservada",0.324737106918239,"transferencia_conservada",0.186631446540881,0.138105660377358,0.939611265505845
15,"transferencia_conservada",0.338623376623377,"transferencia_degradada",0.184805194805195,0.153818181818182,0.933700321711608
16,"aporte_conservada",0.34294123283667,"aporte_degradada",0.187038568708623,0.155902664128048,0.927648785140559
17,"aporte_conservada",0.388750360750361,"transferencia_conservada",0.20962481962482,0.179125541125541,0.888362504869524
18,"aporte_conservada",0.334522366522366,"aporte_degradada",0.182683982683983,0.151838383838384,0.93339723503075
19,"transferencia_conservada",0.338623376623377,"transferencia_degradada",0.184805194805195,0.153818181818182,0.933700321711608
20,"aporte_conservada",0.388750360750361,"transferencia_conservada",0.20962481962482,0.179125541125541,0.888362504869524
21,"transferencia_conservada",0.365055303717135,"aporte_conservada",0.219730734360834,0.145324569356301,0.901125245081153
22,"transferencia_conservada",0.365055303717135,"aporte_conservada",0.219730734360834,0.145324569356301,0.901125245081153
23,"aporte_conservada",0.324737106918239,"transferencia_conservada",0.186631446540881,0.138105660377358,0.939611265505845
24,"aporte_conservada",0.377277987421384,"transferencia_conservada",0.215361006289308,0.161916981132075,0.894602776782792
25,"receptora_conservada",0.423029011786038,"receptora_degradada",0.228463281958296,0.194565729827743,0.853827266990514
26,"receptora_conservada",0.493067463706234,"receptora_degradada",0.159137489325363,0.333929974380871,0.807856932855058
27,"aporte_conservada",0.324737106918239,"transferencia_conservada",0.186631446540881,0.138105660377358,0.939611265505845
28,"receptora_conservada",0.423498719043553,"receptora_degradada",0.228706233988044,0.194792485055508,0.853287686945143
29,"aporte_conservada",0.388750360750361,"transferencia_conservada",0.20962481962482,0.179125541125541,0.888362504869524
30,"transferencia_conservada",0.393205849947811,"transferencia_degradada",0.213037508593695,0.180168341354116,0.890661939446587
31,"receptora_conservada",0.411262893081761,"receptora_degradada",0.222377358490566,0.188885534591195,0.866920046493034
32,"transferencia_conservada",0.413492106927597,"transferencia_degradada",0.223530400134964,0.189961706792633,0.870546265613048
33,"transferencia_conservada",0.314311876699909,"aporte_conservada",0.190358567543064,0.123953309156845,0.946105609084125
34,"receptora_degradada",0.422353634577603,"receptora_conservada",0.22811394891945,0.194239685658153,0.854600815359022
35,"receptora_degradada",0.422353634577603,"receptora_conservada",0.22811394891945,0.194239685658153,0.854600815359022
36,"receptora_degradada",0.422353634577603,"receptora_conservada",0.22811394891945,0.194239685658153,0.854600815359022
37,"aporte_conservada",0.312970988213962,"transferencia_conservada",0.192514505893019,0.120456482320943,0.946419676621854
38,"aporte_conservada",0.324737106918239,"transferencia_conservada",0.186631446540881,0.138105660377358,0.939611265505845
39,"receptora_degradada",0.422353634577603,"receptora_conservada",0.22811394891945,0.194239685658153,0.854600815359022
40,"transferencia_conservada",0.314311876699909,"aporte_conservada",0.190358567543064,0.123953309156845,0.946105609084125
41,"transferencia_degradada",0.315241650294695,"aporte_degradada",0.189555992141454,0.125685658153242,0.945682388037966
42,"transferencia_conservada",0.422629803186504,"transferencia_degradada",0.22825679475164,0.194373008434864,0.860538023241762
43,"receptora_conservada",0.320963110931935,"transferencia_conservada",0.188518444534033,0.132444666397902,0.941873940283134
44,"aporte_conservada",0.342205632291901,"aporte_degradada",0.186658085668225,0.155547546623676,0.928165923672456
45,"receptora_conservada",0.369302827406381,"receptora_degradada",0.20067387624468,0.168628951161701,0.907222901039387
46,"transferencia_degradada",0.330823860438942,"transferencia_conservada",0.180770962296005,0.150052898142938,0.937663333410568
47,"transferencia_conservada",0.354643842339276,"transferencia_degradada",0.193091642589281,0.161552199749995,0.922831558728245
48,"receptora_degradada",0.362252252252252,"receptora_conservada",0.197027027027027,0.165225225225225,0.913048741375168
49,"aporte_degradada",0.312970988213962,"transferencia_degradada",0.192514505893019,0.120456482320943,0.946419676621854
50,"transferencia_conservada",0.422743465634076,"transferencia_degradada",0.228315585672798,0.194427879961278,0.860401964033812
51,"aporte_conservada",0.359964059365218,"aporte_degradada",0.195843478982009,0.164120580383209,0.914882226656545
52,"receptora_conservada",0.397449159346547,"receptora_degradada",0.215232323799938,0.182216835546609,0.881272024387433
53,"aporte_degradada",0.36357736317463,"aporte_conservada",0.197712429228257,0.165864933946373,0.911974156296444
54,"transferencia_conservada",0.338623376623377,"transferencia_degradada",0.184805194805195,0.153818181818182,0.933700321711608
55,"transferencia_degradada",0.315241650294695,"aporte_degradada",0.189555992141454,0.125685658153242,0.945682388037966
56,"transferencia_conservada",0.338623376623377,"transferencia_degradada",0.184805194805195,0.153818181818182,0.933700321711608
57,"transferencia_degradada",0.315241650294695,"aporte_degradada",0.189555992141454,0.125685658153242,0.945682388037966
58,"aporte_conservada",0.312729111697449,"transferencia_conservada",0.192635444151275,0.120093667546174,0.946552043807644
59,"aporte_conservada",0.373221684414327,"aporte_degradada",0.20270087124879,0.170520813165537,0.90386909935513
60,"receptora_conservada",0.423029011786038,"receptora_degradada",0.228463281958296,0.194565729827743,0.853827266990514
61,"transferencia_degradada",0.422864864864865,"transferencia_conservada",0.228378378378378,0.194486486486486,0.860255559361577
62,"receptora_degradada",0.369127745553374,"receptora_conservada",0.200583316665538,0.168544428887836,0.907370804293576
63,"aporte_degradada",0.412756825103995,"aporte_conservada",0.223150081950342,0.189606743153653,0.865302438399405
64,"transferencia_degradada",0.315241650294695,"aporte_degradada",0.189555992141454,0.125685658153242,0.945682388037966
65,"receptora_conservada",0.392727033283797,"receptora_degradada",0.212789844801964,0.179937188481833,0.885930897479391
66,"aporte_degradada",0.313646365422397,"transferencia_degradada",0.192176817288802,0.121469548133595,0.946048456170975
67,"aporte_degradada",0.341664096640161,"aporte_conservada",0.186377981020773,0.155286115619388,0.928544810189832
68,"aporte_degradada",0.373747747747748,"aporte_conservada",0.202972972972973,0.170774774774775,0.903412568525205
69,"receptora_conservada",0.388563475222932,"receptora_degradada",0.210636280287724,0.177927194935209,0.889935621209399
70,"aporte_conservada",0.324737106918239,"transferencia_conservada",0.186631446540881,0.138105660377358,0.939611265505845
71,"aporte_degradada",0.313646365422397,"transferencia_degradada",0.192176817288802,0.121469548133595,0.946048456170975
72,"aporte_conservada",0.324737106918239,"transferencia_conservada",0.186631446540881,0.138105660377358,0.939611265505845
73,"aporte_degradada",0.373747747747748,"aporte_conservada",0.202972972972973,0.170774774774775,0.903412568525205
74,"receptora_conservada",0.411262893081761,"receptora_degradada",0.222377358490566,0.188885534591195,0.866920046493034
75,"receptora_conservada",0.401477633477633,"receptora_degradada",0.217316017316017,0.184161616161616,0.877198558299002
76,"aporte_degradada",0.368169868197351,"aporte_conservada",0.200087862860699,0.168082005336652,0.908177064696152
