"id","cluster_C2","UREH_predicha","funcion","condicion"
724,7,"transferencia_conservada","transferencia","conservada"
725,7,"aporte_conservada","aporte","conservada"
726,7,"transferencia_conservada","transferencia","conservada"
727,7,"aporte_conservada","aporte","conservada"
728,7,"transferencia_conservada","transferencia","conservada"
729,7,"aporte_conservada","aporte","conservada"
730,10,"transferencia_conservada","transferencia","conservada"
731,2,"transferencia_conservada","transferencia","conservada"
732,2,"aporte_conservada","aporte","conservada"
733,4,"transferencia_conservada","transferencia","conservada"
734,11,"aporte_degradada","aporte","degradada"
735,11,"aporte_degradada","aporte","degradada"
736,11,"transferencia_degradada","transferencia","degradada"
737,11,"transferencia_degradada","transferencia","degradada"
738,1,"aporte_conservada","aporte","conservada"
739,1,"aporte_conservada","aporte","conservada"
740,2,"transferencia_conservada","transferencia","conservada"
741,2,"aporte_conservada","aporte","conservada"
742,11,"transferencia_degradada","transferencia","degradada"
743,8,"aporte_degradada","aporte","degradada"
744,11,"transferencia_degradada","transferencia","degradada"
745,11,"transferencia_degradada","transferencia","degradada"
746,11,"aporte_degradada","aporte","degradada"
747,2,"transferencia_conservada","transferencia","conservada"
748,12,"aporte_conservada","aporte","conservada"
749,11,"transferencia_conservada","transferencia","conservada"
750,12,"aporte_conservada","aporte","conservada"
751,12,"aporte_conservada","aporte","conservada"
752,4,"aporte_conservada","aporte","conservada"
753,2,"transferencia_conservada","transferencia","conservada"
754,2,"transferencia_conservada","transferencia","conservada"
755,2,"aporte_conservada","aporte","conservada"
756,2,"aporte_conservada","aporte","conservada"
757,2,"aporte_conservada","aporte","conservada"
758,2,"transferencia_conservada","transferencia","conservada"
759,11,"transferencia_conservada","transferencia","conservada"
760,11,"transferencia_conservada","transferencia","conservada"
761,5,"transferencia_degradada","transferencia","degradada"
762,10,"transferencia_conservada","transferencia","conservada"
763,10,"aporte_conservada","aporte","conservada"
764,10,"transferencia_conservada","transferencia","conservada"
765,10,"aporte_conservada","aporte","conservada"
766,10,"aporte_conservada","aporte","conservada"
767,5,"receptora_degradada","recepcion","degradada"
768,5,"aporte_degradada","aporte","degradada"
769,2,"aporte_conservada","aporte","conservada"
770,2,"aporte_conservada","aporte","conservada"
771,2,"aporte_conservada","aporte","conservada"
772,2,"transferencia_conservada","transferencia","conservada"
773,11,"transferencia_degradada","transferencia","degradada"
774,11,"aporte_degradada","aporte","degradada"
775,2,"transferencia_conservada","transferencia","conservada"
776,8,"aporte_degradada","aporte","degradada"
777,8,"aporte_degradada","aporte","degradada"
778,2,"transferencia_conservada","transferencia","conservada"
779,5,"transferencia_degradada","transferencia","degradada"
780,10,"transferencia_conservada","transferencia","conservada"
781,5,"aporte_degradada","aporte","degradada"
782,12,"aporte_degradada","aporte","degradada"
783,8,"aporte_degradada","aporte","degradada"
784,2,"aporte_conservada","aporte","conservada"
785,2,"aporte_conservada","aporte","conservada"
786,8,"receptora_degradada","recepcion","degradada"
787,8,"aporte_degradada","aporte","degradada"
788,8,"aporte_degradada","aporte","degradada"
789,8,"receptora_degradada","recepcion","degradada"
790,8,"receptora_degradada","recepcion","degradada"
791,8,"transferencia_degradada","transferencia","degradada"
792,8,"transferencia_degradada","transferencia","degradada"
793,12,"aporte_degradada","aporte","degradada"
794,12,"aporte_conservada","aporte","conservada"
795,12,"receptora_conservada","recepcion","conservada"
796,4,"transferencia_conservada","transferencia","conservada"
797,8,"transferencia_degradada","transferencia","degradada"
798,8,"aporte_degradada","aporte","degradada"
799,5,"transferencia_degradada","transferencia","degradada"
800,2,"transferencia_conservada","transferencia","conservada"
801,8,"aporte_degradada","aporte","degradada"
802,2,"aporte_conservada","aporte","conservada"
803,4,"transferencia_conservada","transferencia","conservada"
804,12,"receptora_conservada","recepcion","conservada"
805,12,"receptora_conservada","recepcion","conservada"
806,2,"receptora_conservada","recepcion","conservada"
807,2,"aporte_conservada","aporte","conservada"
808,4,"aporte_conservada","aporte","conservada"
809,4,"aporte_conservada","aporte","conservada"
810,4,"transferencia_conservada","transferencia","conservada"
811,2,"transferencia_conservada","transferencia","conservada"
812,2,"aporte_conservada","aporte","conservada"
813,1,"aporte_conservada","aporte","conservada"
814,10,"transferencia_conservada","transferencia","conservada"
815,1,"transferencia_conservada","transferencia","conservada"
816,1,"transferencia_conservada","transferencia","conservada"
817,2,"aporte_conservada","aporte","conservada"
818,2,"aporte_conservada","aporte","conservada"
819,7,"aporte_conservada","aporte","conservada"
820,3,"aporte_conservada","aporte","conservada"
821,3,"aporte_conservada","aporte","conservada"
822,2,"aporte_conservada","aporte","conservada"
823,2,"aporte_conservada","aporte","conservada"
824,2,"transferencia_conservada","transferencia","conservada"
825,5,"transferencia_degradada","transferencia","degradada"
826,5,"transferencia_degradada","transferencia","degradada"
827,5,"aporte_degradada","aporte","degradada"
828,2,"aporte_conservada","aporte","conservada"
829,4,"transferencia_conservada","transferencia","conservada"
830,5,"aporte_degradada","aporte","degradada"
831,2,"transferencia_conservada","transferencia","conservada"
832,3,"aporte_conservada","aporte","conservada"
833,3,"aporte_conservada","aporte","conservada"
834,5,"transferencia_degradada","transferencia","degradada"
835,9,"receptora_degradada","recepcion","degradada"
836,5,"aporte_degradada","aporte","degradada"
837,2,"aporte_conservada","aporte","conservada"
838,2,"receptora_conservada","recepcion","conservada"
839,2,"transferencia_conservada","transferencia","conservada"
840,2,"aporte_conservada","aporte","conservada"
841,2,"transferencia_conservada","transferencia","conservada"
842,2,"aporte_conservada","aporte","conservada"
843,5,"transferencia_degradada","transferencia","degradada"
844,5,"aporte_degradada","aporte","degradada"
845,2,"aporte_conservada","aporte","conservada"
846,2,"transferencia_conservada","transferencia","conservada"
847,5,"aporte_degradada","aporte","degradada"
848,5,"aporte_degradada","aporte","degradada"
849,5,"aporte_degradada","aporte","degradada"
850,5,"transferencia_degradada","transferencia","degradada"
851,1,"aporte_conservada","aporte","conservada"
852,1,"aporte_conservada","aporte","conservada"
853,2,"receptora_conservada","recepcion","conservada"
854,2,"aporte_conservada","aporte","conservada"
855,3,"aporte_conservada","aporte","conservada"
856,3,"receptora_conservada","recepcion","conservada"
857,3,"receptora_conservada","recepcion","conservada"
858,2,"aporte_conservada","aporte","conservada"
859,2,"aporte_conservada","aporte","conservada"
860,2,"transferencia_conservada","transferencia","conservada"
861,2,"transferencia_conservada","transferencia","conservada"
862,5,"receptora_degradada","recepcion","degradada"
863,5,"aporte_degradada","aporte","degradada"
864,5,"transferencia_degradada","transferencia","degradada"
865,2,"aporte_conservada","aporte","conservada"
866,5,"aporte_degradada","aporte","degradada"
867,5,"aporte_degradada","aporte","degradada"
868,5,"aporte_degradada","aporte","degradada"
869,5,"aporte_degradada","aporte","degradada"
870,2,"transferencia_conservada","transferencia","conservada"
871,2,"aporte_conservada","aporte","conservada"
872,2,"transferencia_conservada","transferencia","conservada"
873,2,"transferencia_conservada","transferencia","conservada"
874,2,"aporte_conservada","aporte","conservada"
875,5,"aporte_degradada","aporte","degradada"
876,5,"transferencia_degradada","transferencia","degradada"
877,2,"aporte_conservada","aporte","conservada"
878,2,"aporte_conservada","aporte","conservada"
879,5,"aporte_degradada","aporte","degradada"
880,5,"receptora_degradada","recepcion","degradada"
881,5,"aporte_degradada","aporte","degradada"
882,2,"receptora_conservada","recepcion","conservada"
883,2,"aporte_conservada","aporte","conservada"
884,5,"receptora_degradada","recepcion","degradada"
885,5,"aporte_degradada","aporte","degradada"
886,2,"receptora_conservada","recepcion","conservada"
887,2,"receptora_conservada","recepcion","conservada"
888,2,"receptora_conservada","recepcion","conservada"
889,5,"transferencia_degradada","transferencia","degradada"
890,2,"aporte_conservada","aporte","conservada"
891,2,"aporte_conservada","aporte","conservada"
892,2,"transferencia_conservada","transferencia","conservada"
893,5,"transferencia_degradada","transferencia","degradada"
894,5,"transferencia_degradada","transferencia","degradada"
895,5,"transferencia_degradada","transferencia","degradada"
896,5,"transferencia_degradada","transferencia","degradada"
897,7,"aporte_conservada","aporte","conservada"
898,7,"aporte_conservada","aporte","conservada"
899,8,"receptora_degradada","recepcion","degradada"
