"id","cluster_C2","UREH_predicha","funcion","condicion"
291,4,"aporte_conservada","aporte","conservada"
292,4,"aporte_conservada","aporte","conservada"
293,2,"receptora_conservada","recepcion","conservada"
294,4,"aporte_conservada","aporte","conservada"
295,4,"transferencia_conservada","transferencia","conservada"
296,4,"aporte_conservada","aporte","conservada"
297,2,"transferencia_conservada","transferencia","conservada"
298,4,"receptora_conservada","recepcion","conservada"
299,1,"aporte_conservada","aporte","conservada"
300,2,"aporte_conservada","aporte","conservada"
301,5,"transferencia_degradada","transferencia","degradada"
302,4,"aporte_conservada","aporte","conservada"
303,5,"transferencia_degradada","transferencia","degradada"
304,5,"transferencia_degradada","transferencia","degradada"
305,2,"aporte_conservada","aporte","conservada"
306,2,"aporte_conservada","aporte","conservada"
307,3,"aporte_conservada","aporte","conservada"
308,7,"receptora_conservada","recepcion","conservada"
309,12,"receptora_conservada","recepcion","conservada"
310,4,"aporte_conservada","aporte","conservada"
311,2,"aporte_conservada","aporte","conservada"
312,9,"aporte_conservada","aporte","conservada"
313,9,"aporte_degradada","aporte","degradada"
314,5,"aporte_degradada","aporte","degradada"
315,3,"aporte_conservada","aporte","conservada"
316,3,"aporte_conservada","aporte","conservada"
317,5,"aporte_degradada","aporte","degradada"
318,9,"receptora_degradada","recepcion","degradada"
319,9,"receptora_degradada","recepcion","degradada"
320,3,"aporte_conservada","aporte","conservada"
321,9,"receptora_degradada","recepcion","degradada"
322,8,"aporte_degradada","aporte","degradada"
323,9,"receptora_degradada","recepcion","degradada"
324,5,"aporte_degradada","aporte","degradada"
325,9,"aporte_degradada","aporte","degradada"
326,9,"receptora_degradada","recepcion","degradada"
327,5,"aporte_degradada","aporte","degradada"
328,6,"aporte_conservada","aporte","conservada"
329,8,"aporte_degradada","aporte","degradada"
330,3,"aporte_conservada","aporte","conservada"
331,9,"receptora_conservada","recepcion","conservada"
332,6,"aporte_conservada","aporte","conservada"
333,3,"aporte_conservada","aporte","conservada"
334,3,"aporte_conservada","aporte","conservada"
335,2,"aporte_conservada","aporte","conservada"
