"UREH_predicha","n_units","area_ha","dominant_probability_mean","dominant_probability_median","classification_margin_mean","classification_margin_median","normalized_entropy_mean","normalized_entropy_median","area_percentage"
"aporte_conservada",308,39578.0358894752,0.36392984774567,0.363483227561197,0.161829413218324,0.160602763463478,0.907301347801709,0.904635680714004,35.3302473030579
"aporte_degradada",128,13514.4741226492,0.343101917462927,0.325026639717272,0.147909147966813,0.138539959575907,0.925059981215509,0.939434380818394,12.0640072755845
"transferencia_conservada",180,25390.3176331073,0.388582250036162,0.416592952396512,0.180757860341238,0.192429184674701,0.888396934060124,0.867198762220158,22.6652531112445
"transferencia_degradada",130,14800.1485410372,0.373216399065843,0.394007143300353,0.164481559196109,0.180555172627757,0.899813334873223,0.889923495063462,13.2116942219431
"receptora_conservada",77,9129.30676488965,0.412639325114105,0.411867310012063,0.206780780081155,0.189177322074789,0.868192197058237,0.86626714745867,8.14948641235638
"receptora_degradada",76,9610.81032067823,0.386289726231075,0.405915992999423,0.173959169097896,0.18630427248248,0.88786278020564,0.872581678516412,8.57931167581358
