"id","UREH","probabilidad"
24,"receptora_conservada",0.147361006289308
24,"receptora_degradada",0.0574591194968554
25,"aporte_conservada",0.079485494106981
25,"aporte_degradada",0.0507683590208522
25,"transferencia_conservada",0.137485494106981
25,"transferencia_degradada",0.0807683590208522
25,"receptora_conservada",0.423029011786038
25,"receptora_degradada",0.228463281958296
26,"aporte_conservada",0.089466268146883
26,"aporte_degradada",0.0404312553373185
26,"transferencia_conservada",0.157466268146883
26,"transferencia_degradada",0.0604312553373185
26,"receptora_conservada",0.493067463706234
26,"receptora_degradada",0.159137489325363
27,"aporte_conservada",0.324737106918239
27,"aporte_degradada",0.177622641509434
27,"transferencia_conservada",0.186631446540881
27,"transferencia_degradada",0.106188679245283
27,"receptora_conservada",0.128631446540881
27,"receptora_degradada",0.076188679245283
28,"aporte_conservada",0.0792506404782237
28,"aporte_degradada",0.0506468830059778
28,"transferencia_conservada",0.137250640478224
28,"transferencia_degradada",0.0806468830059778
28,"receptora_conservada",0.423498719043553
28,"receptora_degradada",0.228706233988044
29,"aporte_conservada",0.388750360750361
29,"aporte_degradada",0.128455988455988
29,"transferencia_conservada",0.20962481962482
29,"transferencia_degradada",0.0757720057720058
29,"receptora_conservada",0.14162481962482
29,"receptora_degradada",0.0557720057720058
30,"aporte_conservada",0.130834562170775
30,"aporte_degradada",0.0773282218124698
30,"transferencia_conservada",0.393205849947811
30,"transferencia_degradada",0.213037508593695
30,"receptora_conservada",0.115959587881414
30,"receptora_degradada",0.0696342695938347
31,"aporte_conservada",0.0853685534591195
31,"aporte_degradada",0.053811320754717
31,"transferencia_conservada",0.14336855345912
31,"transferencia_degradada",0.083811320754717
31,"receptora_conservada",0.411262893081761
31,"receptora_degradada",0.222377358490566
32,"aporte_conservada",0.112771141018758
32,"aporte_degradada",0.067985072940737
32,"transferencia_conservada",0.413492106927597
32,"transferencia_degradada",0.223530400134964
32,"receptora_conservada",0.113736752053645
32,"receptora_degradada",0.0684845269242992
33,"aporte_conservada",0.190358567543064
33,"aporte_degradada",0.108116500453309
33,"transferencia_conservada",0.314311876699909
33,"transferencia_degradada",0.172230281051677
33,"receptora_conservada",0.135329555757026
33,"receptora_degradada",0.0796532184950136
34,"aporte_conservada",0.0509430255402751
34,"aporte_degradada",0.0798231827111984
34,"transferencia_conservada",0.0809430255402751
34,"transferencia_degradada",0.137823182711198
34,"receptora_conservada",0.22811394891945
34,"receptora_degradada",0.422353634577603
35,"aporte_conservada",0.0509430255402751
35,"aporte_degradada",0.0798231827111984
35,"transferencia_conservada",0.0809430255402751
35,"transferencia_degradada",0.137823182711198
35,"receptora_conservada",0.22811394891945
35,"receptora_degradada",0.422353634577603
36,"aporte_conservada",0.0509430255402751
36,"aporte_degradada",0.0798231827111984
36,"transferencia_conservada",0.0809430255402751
36,"transferencia_degradada",0.137823182711198
36,"receptora_conservada",0.22811394891945
36,"receptora_degradada",0.422353634577603
37,"aporte_conservada",0.312970988213962
37,"aporte_degradada",0.171536718041704
37,"transferencia_conservada",0.192514505893019
37,"transferencia_degradada",0.109231640979148
37,"receptora_conservada",0.134514505893019
37,"receptora_degradada",0.0792316409791478
38,"aporte_conservada",0.324737106918239
38,"aporte_degradada",0.177622641509434
38,"transferencia_conservada",0.186631446540881
38,"transferencia_degradada",0.106188679245283
38,"receptora_conservada",0.128631446540881
38,"receptora_degradada",0.076188679245283
39,"aporte_conservada",0.0509430255402751
39,"aporte_degradada",0.0798231827111984
39,"transferencia_conservada",0.0809430255402751
39,"transferencia_degradada",0.137823182711198
39,"receptora_conservada",0.22811394891945
39,"receptora_degradada",0.422353634577603
40,"aporte_conservada",0.190358567543064
40,"aporte_degradada",0.108116500453309
40,"transferencia_conservada",0.314311876699909
40,"transferencia_degradada",0.172230281051677
40,"receptora_conservada",0.135329555757026
40,"receptora_degradada",0.0796532184950136
41,"aporte_conservada",0.10770137524558
41,"aporte_degradada",0.189555992141454
41,"transferencia_conservada",0.172711198428291
41,"transferencia_degradada",0.315241650294695
41,"receptora_conservada",0.0795874263261297
41,"receptora_degradada",0.135202357563851
42,"aporte_conservada",0.106320524835989
42,"aporte_degradada",0.0646485473289597
42,"transferencia_conservada",0.422629803186504
42,"transferencia_degradada",0.22825679475164
42,"receptora_conservada",0.111049671977507
42,"receptora_degradada",0.0670946579194002
43,"aporte_conservada",0.130518444534033
43,"aporte_degradada",0.0771647126900169
43,"transferencia_conservada",0.188518444534033
43,"transferencia_degradada",0.107164712690017
43,"receptora_conservada",0.320963110931935
43,"receptora_degradada",0.175670574619966
44,"aporte_conservada",0.342205632291901
44,"aporte_degradada",0.186658085668225
44,"transferencia_conservada",0.177897183854049
44,"transferencia_degradada",0.101670957165888
44,"receptora_conservada",0.119897183854049
44,"receptora_degradada",0.0716709571658876
45,"aporte_conservada",0.106348586296809
45,"aporte_degradada",0.06466306187766
45,"transferencia_conservada",0.164348586296809
45,"transferencia_degradada",0.0946630618776601
45,"receptora_conservada",0.369302827406381
45,"receptora_degradada",0.20067387624468
