"id","escenario","tipo_escenario","evidencia_retirada","pregunta","UREH_M0","UREH_escenario","MAP_estable","distancia_JS","entropia_M0","entropia_escenario","delta_entropia"
505,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.167689456640122,0.882041562710469,0.942485303484198,0.060443740773729
506,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.167499789670855,0.858702533740505,0.9228332161165,0.0641306823759951
507,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0726090360229284,0.946419676621854,0.96495192548376,0.018532248861906
508,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_conservada","transferencia_conservada",TRUE,0.0726094006435623,0.946105609084125,0.964619404611931,0.018513795527806
509,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.165362933802879,0.941609809788091,0.961149656028548,0.019539846240457
510,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.165722853529449,0.924009538041707,0.941862586210844,0.0178530481691369
511,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.168464879821834,0.860538023241762,0.879548636434821,0.019010613193059
512,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.16766598786043,0.860234539663017,0.879413671111968,0.019179131448951
513,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.158867340680842,0.869634449471459,0.890937494503928,0.021303045032469
514,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_conservada","receptora_conservada",TRUE,0.0756014512150628,0.853287686945143,0.872589262071467,0.019301575126324
515,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.168113054964813,0.945682388037966,0.964619404611931,0.018937016573965
516,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.075584149197335,0.946676444656115,0.965724072434783,0.019047627778668
517,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0803876672486456,0.861178644934024,0.880561938753976,0.0193832938199521
518,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.161513206132962,0.90827739396938,0.92801593555834,0.01973854158896
519,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.16469393163478,0.930618213678033,0.950992338772705,0.020374125094672
520,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.155438402106929,0.858826171187244,0.879970997109925,0.021144825922681
521,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_conservada","transferencia_conservada",TRUE,0.0808093987676781,0.852698679496852,0.872453347336706,0.019754667839854
522,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_conservada","transferencia_conservada",TRUE,0.0795743113604364,0.854922273968882,0.874448167387792,0.01952589341891
523,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0808710505278518,0.853549573152347,0.873278664101487,0.01972909094914
524,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.166434364453786,0.94625592447414,0.965321349980481,0.019065425506341
525,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0796292556475505,0.908361652147633,0.92801593555834,0.0196542834107071
526,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","receptora_degradada","receptora_conservada",FALSE,0.16947392843316,0.901144159620408,0.920620139643286,0.0194759800228781
527,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_conservada","transferencia_conservada",TRUE,0.0748081469645472,0.94625592447414,0.965206487465705,0.0189505629915651
528,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0748086473271827,0.946552043807644,0.965506644881946,0.018954601074302
529,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.165680614782789,0.925847221660221,0.945757947382776,0.0199107257225549
530,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.166442408955747,0.946419676621854,0.965446775211346,0.019027098589492
531,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.171679979649282,0.908107980650169,0.926427962424532,0.018319981774363
532,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.16236874453273,0.852743186633922,0.872601851382094,0.019858664748172
533,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.162295101659217,0.852486696354246,0.872347136094731,0.019860439740485
534,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_conservada","aporte_conservada",TRUE,0.0693850798245859,0.908278600067441,0.926427962424532,0.018149362357091
535,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.168065756694482,0.917950372147591,0.935616488239769,0.0176661160921779
536,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","aporte_degradada","aporte_conservada",FALSE,0.170742947287317,0.908180814712863,0.926601362702393,0.01842054798953
537,"Sin cobertura","diagnostico","Cobertura","Distinguir el efecto de cobertura dentro de M1","transferencia_degradada","transferencia_conservada",FALSE,0.167970949715381,0.888473822401008,0.903702622697976,0.0152288002969679
