"funcion","n_units","area_ha","unit_percentage","area_percentage"
"aporte",436,53092.5100121244,48.4983314794216,47.3942545786424
"transferencia",310,40190.4661741445,34.4827586206897,35.8769473331876
"recepcion",153,18740.1170855679,17.0189098998888,16.72879808817
