"variable","type","description","missing_values","treatment"
"id","integer","Unique microcatchment identifier, inherited from source field ID_.",0,"Used unchanged as the unique identifier."
"USyV","categorical_nominal","Land-use and land-cover category.",0,"Recoded to Bayesian-network land-cover states during data preparation."
"Suelos","categorical_nominal","Soil category.",0,"Recoded to Bayesian-network soil states during data preparation."
"Grad_Pend","categorical_ordinal","Slope class.",0,"Recoded to Bayesian-network slope states during data preparation."
"P_sum","numeric","Precipitation variable used in the Bayesian network and clustering analyses.",13,"Missing values retained in the input dataset; handled explicitly by each analysis."
"Esc_sum","numeric","Local runoff variable used in the Bayesian network and clustering analyses.",1,"One source NA retained here and converted to zero during data preparation according to the historical workflow."
"Agua_D","numeric","Accumulated upstream water contribution.",0,"Original values retained; log1p transformation is generated during analysis."
"geom","MULTIPOLYGON","Microcatchment polygon geometry.",0,"Spatial geometry retained in EPSG:32613."
