"id","Esc_sum","Esc_cat","escorrentia","ev_esc_baja","ev_esc_media","ev_esc_alta","suma_evidencia","ev_esc_baja_aj","ev_esc_media_aj","ev_esc_alta_aj","suma_evidencia_aj"
646,775574.011993408,"Media","esc_media",0,0.711181758321755,0.288818241678245,1,0.05,0.654504494573491,0.295495505426509,1
647,219002.305999756,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
648,631631.313415527,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
649,155189.888397217,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
650,712876.338256836,"Media","esc_media",0,0.892309337352273,0.107690662647727,1,0.05,0.808462936749432,0.141537063250568,1
651,287370.090393066,"Baja","esc_baja",0.918218598501864,0.081781401498136,0,1,0.830485808726585,0.119514191273416,0.05,1
652,97911.9588623047,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
653,177657.656677246,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
654,211419.937438965,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
655,269138.249725342,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
656,173496.824462891,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
657,240984.711669922,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
658,254644.002166748,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
659,769354.464569092,"Media","esc_media",0,0.729149435597391,0.270850564402609,1,0.05,0.669777020257782,0.280222979742218,1
660,263347.373413086,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
661,331801.470031738,"Baja","esc_baja",0.674986888823415,0.325013111176585,0,1,0.623738855499903,0.326261144500097,0.05,1
662,102833.075317383,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
663,786737.960754395,"Media","esc_media",0,0.67893017878159,0.32106982121841,1,0.05,0.627090651964352,0.322909348035648,1
664,564976.003540039,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
665,596131.92616272,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
666,293369.703155518,"Baja","esc_baja",0.885374782228608,0.114625217771392,0,1,0.802568564894317,0.147431435105683,0.05,1
667,396955.413543701,"Media","esc_media",0.318313177550345,0.681686822449655,0,1,0.320566200917793,0.629433799082207,0.05,1
668,595914.180419922,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
669,1072610.27435303,"Alta","esc_alta",0,0,1,1,0.05,0.05,0.9,1
670,101806.580429077,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
671,410131.12562561,"Media","esc_media",0.246185077951016,0.753814922048984,0,1,0.259257316258363,0.690742683741637,0.05,1
672,175073.190368652,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
673,473649.753540039,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
674,125364.61126709,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
675,146308.434875488,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
676,296913.655517578,"Baja","esc_baja",0.86597404340274,0.13402595659726,0,1,0.786077936892329,0.163922063107671,0.05,1
677,66708.339050293,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
678,158540.729370117,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
679,123860.177612305,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
680,396470.432922363,"Media","esc_media",0.320968117969667,0.679031882030333,0,1,0.322822900274217,0.627177099725783,0.05,1
681,169657.652038574,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
682,129321.125427246,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
683,130820.791351318,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
684,12785.056427002,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
685,135174.749267578,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
686,54535.2188110352,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
687,393784.150177002,"Media","esc_media",0.335673696552808,0.664326303447192,0,1,0.335322642069887,0.614677357930113,0.05,1
688,60344.681350708,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
689,908557.817550659,"Media","esc_media",0,0.327004271098653,0.672995728901347,1,0.05,0.327953630433855,0.622046369566145,1
690,430213.880493164,"Media","esc_media",0.136245597313399,0.863754402686601,0,1,0.16580875771639,0.78419124228361,0.05,1
691,132233.664550781,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
692,399987.548736572,"Media","esc_media",0.301714291066606,0.698285708933394,0,1,0.306457147406615,0.643542852593385,0.05,1
693,359001.964866638,"Baja","esc_baja",0.526082602785127,0.473917397214873,0,1,0.497170212367358,0.452829787632642,0.05,1
694,490227.984970093,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
695,13247.1401834488,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
696,13834.4587917328,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
697,37348.7430676222,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
698,38513.1908691637,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
699,1053.97324299812,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
700,14773.457075119,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
701,25941.0833465261,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
702,599.89662194252,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
