"id","USyV","Suelos","Grad_Pend","P_sum","Esc_sum","Agua_D","Agua_D_log","P_cat","Esc_cat","Agua_D_cat","cobertura","suelo","pendiente","precipitacion","escorrentia","aporte","p_inf_baja","p_inf_media","p_inf_alta","p_esc_modelo_baja","p_esc_modelo_media","p_esc_modelo_alta","p_esc_final_baja","p_esc_final_media","p_esc_final_alta","p_func_aporte","p_func_transferencia","p_func_recepcion","aporte_conservada","aporte_degradada","transferencia_conservada","transferencia_degradada","receptora_conservada","receptora_degradada","UREH_predicha","prob_UREH_predicha","UREH_segunda","prob_UREH_segunda","margen_clasificacion","entropia_UREH"
395,"Agricultura","Cambisol","1°-3°",1931103.41308594,639156.404846191,19689993.01,16.7956211463999,"Media","Media","Media","agropecuaria","suelo_infiltracion_media","pend_baja","prec_media","esc_media","aporte_medio",0.2,0.7,0.1,0.175,0.64,0.185,0.0147306397306397,0.96969696969697,0.0155723905723906,0.151430976430976,0.697053872053872,0.151515151515152,0.0654292929292929,0.107829966329966,0.229116161616162,0.424291245791246,0.0654545454545455,0.107878787878788,"transferencia_degradada",0.424291245791246,"transferencia_conservada",0.229116161616162,0.195175084175084,0.858716238328341
396,"Agricultura","Phaeozem","1°-3°",1137078.76269531,356091.514312744,39384630.27,17.488886228882,"Media","Baja","Alta","agropecuaria","suelo_infiltracion_alta","pend_baja","prec_media","esc_baja","aporte_alto",0.1,0.7,0.2,0.185,0.64,0.175,0.245806243568293,0.731429562194643,0.0227641942370645,0.138847897533439,0.238847897533439,0.622304204933123,0.0616543692600316,0.100531780569394,0.0916543692600316,0.158531780569394,0.206691261479937,0.380936438861211,"receptora_degradada",0.380936438861211,"receptora_conservada",0.206691261479937,0.174245177381274,0.897023419813431
397,"Pastizal","Regosol","1°-3°",1692476.28857422,543343.313354492,543343.31,13.2054984863648,"Media","Media","Baja","agropecuaria","suelo_infiltracion_baja","pend_baja","prec_media","esc_media","aporte_bajo",0.5,0.3,0.2,0.205,0.56,0.235,0.0194866920152091,0.958174904942966,0.0223384030418251,0.600285171102662,0.249857414448669,0.149857414448669,0.200085551330798,0.368165399239544,0.0949572243346008,0.164917300380228,0.0649572243346008,0.106917300380228,"aporte_degradada",0.368165399239544,"aporte_conservada",0.200085551330798,0.168079847908745,0.908180814712863
398,"Pastizal","Regosol","6°-15°",4243525.68688965,1384482.01239014,30781702.24,17.2424310207765,"Alta","Alta","Alta","agropecuaria","suelo_infiltracion_baja","pend_media","prec_alta","esc_alta","aporte_alto",0.5,0.3,0.2,0.135,0.235,0.63,0.0115286080273271,0.020068317677199,0.968403074295474,0.197843723313407,0.297843723313407,0.504312553373185,0.0793531169940222,0.134749359521776,0.109353116994022,0.192749359521776,0.171293766011956,0.312501280956447,"receptora_degradada",0.312501280956447,"transferencia_degradada",0.192749359521776,0.119751921434671,0.946676444656115
399,"Pastizal","Cambisol","1°-3°",2678060.62072754,882419.54800415,24148426.58,16.9997298253841,"Alta","Media","Media","agropecuaria","suelo_infiltracion_media","pend_baja","prec_alta","esc_media","aporte_medio",0.25,0.6,0.15,0.145,0.245,0.61,0.0163428288247256,0.21656794677842,0.767089224396855,0.114096963103866,0.696731434235055,0.189171602661079,0.0542290889311598,0.0861762386002423,0.229019430270516,0.424104231856332,0.0767514807983237,0.129719529543426,"transferencia_degradada",0.424104231856332,"transferencia_conservada",0.229019430270516,0.195084801585815,0.855373056952563
400,"Pastizal","Regosol","1°-3°",804505.67578125,247331.021759033,35824084.1,17.3941309933203,"Baja","Baja","Alta","agropecuaria","suelo_infiltracion_baja","pend_baja","prec_baja","esc_baja","aporte_alto",0.6,0.25,0.15,0.555,0.2725,0.1725,0.957355055103019,0.0261140392908481,0.0165309056061332,0.102958792525156,0.202958792525156,0.694082414949688,0.0508876377575467,0.0797160996645903,0.0808876377575467,0.13771609966459,0.228224724484906,0.422567800670819,"receptora_degradada",0.422567800670819,"receptora_conservada",0.228224724484906,0.194343076185913,0.854355811718715
401,"Pastizal","Regosol","1°-3°",1189639.53393555,361752.880401611,36185836.98,17.4041783842289,"Media","Baja","Alta","agropecuaria","suelo_infiltracion_baja","pend_baja","prec_media","esc_baja","aporte_alto",0.5,0.3,0.2,0.205,0.56,0.235,0.267068659162494,0.701328222075238,0.0316031187622679,0.138226722979989,0.238226722979989,0.623546554040023,0.0614680168939966,0.100171499328393,0.0914680168939966,0.158171499328393,0.207063966212007,0.381657001343213,"receptora_degradada",0.381657001343213,"receptora_conservada",0.207063966212007,0.174593035131206,0.896367463582827
402,"Pastizal","Cambisol","1°-3°",5634413.59179687,1819589.3453064,23266007.03,16.9625039704976,"Alta","Alta","Media","agropecuaria","suelo_infiltracion_media","pend_baja","prec_alta","esc_alta","aporte_medio",0.25,0.6,0.15,0.145,0.245,0.61,0.0127528583992964,0.0215479331574318,0.965699208443272,0.103627968337731,0.697449428320141,0.198922603342128,0.0510883905013193,0.0801042216358839,0.229234828496042,0.424520668425682,0.0796767810026385,0.135375109938434,"transferencia_degradada",0.424520668425682,"transferencia_conservada",0.229234828496042,0.195285839929639,0.852698679496852
403,"Sec Bosque Tropical","Regosol","6°-15°",1625380.58056641,526173.595916748,526173.6,13.1733883758037,"Media","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_media","aporte_bajo",0.2,0.7,0.1,0.175,0.64,0.185,0.0147306397306397,0.96969696969697,0.0155723905723906,0.600084175084175,0.249957912457912,0.149957912457912,0.368048821548822,0.200025252525252,0.164975589225589,0.0949873737373737,0.106975589225589,0.0649873737373737,"aporte_conservada",0.368048821548822,"aporte_degradada",0.200025252525252,0.168023569023569,0.908278600067441
404,"Sec Bosque Tropical","Regosol","6°-15°",1347094.87487793,430061.374908447,4325982.08,15.2801499742531,"Media","Media","Media","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_media","aporte_medio",0.2,0.7,0.1,0.175,0.64,0.185,0.0539823933181542,0.92888223185794,0.0171353748239052,0.157240590256528,0.689203521336369,0.153555888407103,0.111199542348786,0.0671721770769584,0.419738042375094,0.226761056400911,0.10906241527612,0.0660667665221309,"transferencia_conservada",0.419738042375094,"transferencia_degradada",0.226761056400911,0.192976985974183,0.863776599736203
405,"Sec Bosque Tropical","Regosol","6°-15°",1155498.25305176,344856.62298584,344856.62,12.750886915179,"Media","Baja","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_media","prec_media","esc_baja","aporte_bajo",0.2,0.7,0.1,0.175,0.64,0.185,0.277172218412139,0.696805104928066,0.0260226766597948,0.574885045824766,0.262557477087617,0.162557477087617,0.353433326578364,0.19246551374743,0.172283336710818,0.0987672431262852,0.114283336710818,0.0687672431262852,"aporte_conservada",0.353433326578364,"aporte_degradada",0.19246551374743,0.160967812830934,0.919961702557467
406,"Sec Bosque Tropical","Regosol","15°-35°",2181515.46191406,638235.452819824,638235.45,13.3664641049528,"Alta","Media","Baja","forestal_secundaria","suelo_infiltracion_baja","pend_alta","prec_alta","esc_media","aporte_bajo",0.3,0.5,0.2,0.145,0.245,0.61,0.0280735721200387,0.853823814133592,0.11810261374637,0.609002904162633,0.245498547918683,0.145498547918683,0.373221684414327,0.20270087124879,0.162389157792836,0.093649564375605,0.104389157792836,0.063649564375605,"aporte_conservada",0.373221684414327,"aporte_degradada",0.20270087124879,0.170520813165537,0.90386909935513
407,"Bosque de Encino","Regosol","15°-35°",960698.677124023,278893.317138672,278893.32,12.5385882076857,"Baja","Baja","Baja","forestal_conservada","suelo_infiltracion_baja","pend_alta","prec_baja","esc_baja","aporte_bajo",0.3,0.5,0.2,0.59,0.255,0.155,0.947974608111769,0.037711351727622,0.014314040160609,0.506633943204884,0.296683028397558,0.196683028397558,0.364511081379321,0.121326788640977,0.221744459310339,0.0793366056795116,0.153744459310339,0.0593366056795116,"aporte_conservada",0.364511081379321,"transferencia_conservada",0.221744459310339,0.142766622068982,0.900955151708215
